Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Smokestack,"New Wave > *Rumney > New Hampshire",https://www.mountainproject.com/route/105998986/smokestack,3.4,-1,Sport,5.9+,1,,43.80285,-71.83444
"Oby-won Ryobi","Darth Vader > *Rumney > New Hampshire",https://www.mountainproject.com/route/105906887/oby-won-ryobi,3.1,-1,Sport,5.9+,1,,43.80352,-71.8404
B-B-Buttress,"The Northwest Territories > *Rumney > New Hampshire",https://www.mountainproject.com/route/106147475/b-b-buttress,3.1,-1,Sport,5.9+,1,,43.80478,-71.84537
Yoda,"Darth Vader > *Rumney > New Hampshire",https://www.mountainproject.com/route/105906879/yoda,3.0,-1,Sport,5.9,1,,43.80352,-71.8404
"War and  Peace","Bonsai > *Rumney > New Hampshire",https://www.mountainproject.com/route/105878619/war-and-peace,2.7,-1,Sport,5.9+,1,,43.80288,-71.83926
"Curly for President","The Parking Lot Wall > *Rumney > New Hampshire",https://www.mountainproject.com/route/106254868/curly-for-president,2.7,-1,Sport,5.9-,1,,43.80274,-71.83029
"Cozened Stone","The Very Nice Crag > *Rumney > New Hampshire",https://www.mountainproject.com/route/108370872/cozened-stone,3.2,-1,Sport,5.9,1,80,43.80545,-71.84486
"Hippos on Parade","Center Section > The Meadows > *Rumney > New Hampshire",https://www.mountainproject.com/route/105961400/hippos-on-parade,2.7,-1,Sport,5.9,1,,43.80231,-71.83173
"Lies and Propaganda","Center Section > The Meadows > *Rumney > New Hampshire",https://www.mountainproject.com/route/105923839/lies-and-propaganda,2.6,-1,Sport,5.9,1,55,43.80231,-71.83173
"California Chrome","The Northwest Territories > *Rumney > New Hampshire",https://www.mountainproject.com/route/108999586/california-chrome,2.6,-1,Sport,5.9+,1,100,43.80478,-71.84537
Space,"Starship Enterprise > *Rumney > New Hampshire",https://www.mountainproject.com/route/105959820/space,2.6,-1,Sport,5.9+,1,,43.8021,-71.8367
"Trigger Happy","Triple Corners Right > Triple Corners > *Rumney > New Hampshire",https://www.mountainproject.com/route/106030531/trigger-happy,2.6,-1,Sport,5.9,1,,43.80403,-71.84178
Quinn/Callaghan,"The Parking Lot Wall > *Rumney > New Hampshire",https://www.mountainproject.com/route/106263795/quinncallaghan,2.5,-1,Sport,5.9-,1,80,43.80274,-71.83029
"Green Mile","Armed and Dangerous (Main Cliff Left) > *Rumney > New Hampshire",https://www.mountainproject.com/route/106009586/green-mile,2.4,-1,Sport,5.9,1,,43.80202,-71.83678
"Men In White Suits","Armed and Dangerous (Main Cliff Left) > *Rumney > New Hampshire",https://www.mountainproject.com/route/105959381/men-in-white-suits,2.3,-1,Sport,5.9,1,,43.80202,-71.83678
"Left El Diego","Triple Corners Right > Triple Corners > *Rumney > New Hampshire",https://www.mountainproject.com/route/105961439/left-el-diego,2.4,-1,Sport,5.9,1,,43.80403,-71.84178
"Egg McMeadows","The Parking Lot Wall > *Rumney > New Hampshire",https://www.mountainproject.com/route/105962933/egg-mcmeadows,2.3,-1,Sport,5.9+,1,,43.80274,-71.83029
"Bolt And Run","5.8 Crag > *Rumney > New Hampshire",https://www.mountainproject.com/route/105922323/bolt-and-run,2.3,-1,Sport,5.9,1,,43.80105,-71.83823
"Things I Never Learned","Jimmy Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105925175/things-i-never-learned,2.2,-1,Sport,5.9,1,,43.80417,-71.84037
"Orange Crush (retro-bolted)","Orange Crush > *Rumney > New Hampshire",https://www.mountainproject.com/route/106775797/orange-crush-retro-bolted,2.2,-1,Sport,5.9,1,50,43.80293,-71.83513
"Yer Anus","Starship Enterprise > *Rumney > New Hampshire",https://www.mountainproject.com/route/105959760/yer-anus,2.3,-1,Sport,5.9,1,,43.8021,-71.8367
